STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!
STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,
🔍 Résumé,,Valeur,AFFICHÉ ONLINE,PRÉPARATION BODY,PREP MÉCANIQUE,PREP STUCTUREL,,,,,,,,,,,,,,,,,,,,
TOTAL DES VÉHICULES ACHETÉS,,95,,,,,,,,,,,,,,,,,,,,,,,,
VÉHICULE VENDU/LIVRÉ,,58,,,,,,,,,,,,,,,,,,,,,,,,
EN INVENTAIRE,,37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,MODÈLE,ANNÉE,6 DERNIERS NIV, COÛTANT, PAD,ACHETE DE... ,DATE,VENDU,LIVRÉ,FACTURE,,ONGLETS,,FACTURE MÉCANIQUE,,FACTURE BODY,,FACTURE AUTRE,,AUTRES FRAIS,, TOTAL COST, VENTE,PROFIL/ PERTE,DATE J/M/A,
,,,,,,,ACHAT,,,LIEN,TOTAL,FACTURE,MONTANT,NO FACTURE,MONTANT,NO FACTURE, MONTANT,NO FACTURE, MONTANT,FACTURES AUTRES, MONTANT,,,,VENTE,
MR000,CARAVAN  (33584),2012,370926,"  8 007,96 $ ",  -   $ ,MÉGA CENTRE D'OCCASION,15 juillet 2024,TRUE,TRUE,FALSE,TRUE,,"1 474,95 $",24257,"  840,00 $ ",,  -   $ ,MEC ST-BO,"  91,00 $ ",ENTREPOT 293140,"  543,95 $ ","  8 007,96 $ ","  7 495,00 $ ","- 512,96 $ ",31 july 2025,"1 474,95 $"
MR001,MAZDA 3,2007,703028,"  1 500,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,1 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,"5 778,63 $",1816,"  675,85 $ ",chris es 103724,"  800,00 $ ",chez raf 4798,"  657,57 $ ",black fox,"  140,00 $ ","  3 773,42 $ ","  4 750,00 $ ","  976,58 $ ",20 aout 2025,"5 778,63 $"
MR002,CIVIC,2010,006441,"  1 400,00 $ ","  55,00 $ ",NISSAN TROIS-RIVIÈRES,6 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,"0,00 $",39374-39357-4739,"  903,35 $ ",089046-7156,"  2 993,50 $ ",1-11789505,"  124,53 $ ",HOME DEPOT+MARKET,"  332,34 $ ","  5 808,72 $ ","  7 000,00 $ ","  1 191,28 $ ",18 juin 2025,"0,00 $"
MR003,YARIS,2010,323157,"  800,00 $ ","  55,00 $ ",NISSAN TROIS-RIVIÈRES,6 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,"0,00 $",P6810,"  206,90 $ ",103634,"  500,00 $ ",LT17834,"  200,00 $ ",,,"  1 761,90 $ ","  5 695,00 $ ","  3 933,10 $ ",25 mai 2020,"0,00 $"
MR004,ESCAPE,2015,C48819,"  2 800,00 $ ",  -   $ ,NISSAN TROIS-RIVIÈRES,6 mai 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,"3 803,13 $",019536,"  803,13 $ ",,,,,,,"  3 603,13 $ ","  7 995,00 $ ","  4 391,87 $ ",,"3 703,13 $"
MR005,VENZA ,2011,051471,"  3 500,00 $ ","  100,00 $ ",NISSAN TROIS-RIVIÈRES,6 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,"0,00 $",1824,"  1 514,50 $ ",089041,"  600,00 $ ",15111,"  500,00 $ ",103647,"  600,00 $ ","  6 814,50 $ ","  8 995,00 $ ","  2 180,50 $ ",15 aout 2025,"1 474,95 $"
MR006,FIAT 500,2012,377496,"  6 000,00 $ ",  -   $ ,ACHAT PORTE,12 mai 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,"9 987,81 $",point s 7043,"  612,80 $ ",089049,"  350,00 $ ",ft39588,"  456,97 $ ",entrepot du pneu 29158,"  668,04 $ ","  8 087,81 $ ","  9 995,00 $ ","  1 907,19 $ ",,"1 474,95 $"
MR007,VIBE,2006,436542,"  1 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,12 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,"0,00 $",chez raf 4827,"  456,96 $ ",,,,"  850,00 $ ",MARKET PLACE,"  120,00 $ ","  2 426,96 $ ","  3 995,00 $ ","  1 568,04 $ ",26 JULY 2025,
MR008,MATRIX,2009,003473,"  1 000,00 $ ","  55,00 $ ",MAZDA TROIS-RIVIÈRES,12 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,1826-1939,"  2 109,39 $ ",103667,"  600,00 $ ",5976,"  125,00 $ ",entrepot du pneu 292050,"  477,96 $ ","  4 367,35 $ ","  4 800,00 $ ","  432,65 $ ",30 juin 2025,
MR009,VERSA,2011,386302,"  1 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,13 mai 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,4693,"  476,99 $ ",,,ft39550,"  562,37 $ ",7004,"  256,35 $ ","  2 295,71 $ ","  3 995,00 $ ","  1 699,29 $ ",,
